Владение русским,Проживание в чужой стране,Проживание в новой стране менее 11 лет,age,gen,duration,Orgina_con,New_con,MFA1,MFA2,MFA3,MFA4,L1,L2,L3,L4,MFR1,MFR2,MFR3,MFR4,AD1,AD2,AD3,AD4,RH1,RH2,RH3,RH4,UHS TOTAL,MHC_emot1,MHC_emot2,MHS_emot3,MHC_soc4,MHC_soc5,MHC_soc6,MHC_soc7,MHC_soc8,MHC_psy9,MHC_psy10,MHC_psy11,MHC_psy12,MHC_psy13,MHC_psy14,MHC TOTAL,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,MSPSS Total,SOBI-P1,SOBI-P2,SOBI-P3,SOBI-P4,SOBI-P5,SOBI-P6,SOBI-P7,SOBI-P8,SOBI-P9,SOBI-P10,SOBI-P11,SOBI-P12,SOBI-P13,SOBI-P14,SOBI-P15,SOBI-P16,SOBI-P17,SOBI-P18,SOBI-P Total
Да,Да,Да,19,F,1,Узбекистан,Россия,4,5,4,3,4,3,3,1,4,3,4,4,3,4,2,3,3,2,5,4,3.4,1,2,1,2,0,2,1,3,0,1,0,1,1,1,16,5,4,5,4,5,6,5,6,5,5,4,5,4.92,3,3,4,3,3,4,4,3,3,2,3,3,3,3,4,3,3,4,58
Да,Да,Да,21,M,4,Россия,Англия,3,3,3,5,1,1,1,1,3,1,1,3,1,1,1,1,3,1,1,2,1.85,4,4,4,3,5,4,5,4,5,4,3,4,5,4,58,6,5,5,6,6,7,5,5,5,6,6,5,5.58,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,4,4,3,59
Да,Да,Да,23,M,1,Россия,Англия,2,2,2,3,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1.4,4,5,4,3,5,5,5,4,5,4,3,5,5,5,62,6,6,6,6,6,6,7,7,7,6,7,6,6.33,3,4,3,4,3,4,2,3,3,4,4,3,4,4,3,3,4,3,61
Да,Да,Да,20,F,2,Россия,Англия,3,3,4,3,4,1,3,3,4,4,3,4,4,3,3,3,4,3,2,3,3.2,2,1,0,1,2,1,1,2,2,0,1,2,0,2,17,2,2,2,3,2,2,2,2,3,3,3,3,2.42,2,2,2,3,2,2,1,2,2,3,2,2,2,3,2,2,2,2,38
Да,Да,Да,24,F,9,Россия,Англия,3,4,3,5,2,2,1,1,4,2,3,4,2,2,2,1,3,2,2,3,2.55,2,3,4,1,1,4,3,2,3,4,1,1,1,2,32,4,5,5,4,4,3,4,3,3,4,4,3,3.83,2,3,3,2,3,2,3,2,2,3,3,3,2,4,2,2,3,2,46
Да,Да,Да,29,F,10,Россия,Чехия,3,4,3,4,1,2,1,1,1,3,3,1,1,3,1,1,1,1,2,1,1.9,3,5,4,5,5,3,3,4,4,5,4,3,4,4,56,5,6,6,6,5,5,6,6,5,5,5,6,5.50,3,4,3,3,3,4,4,3,4,3,2,3,3,3,3,3,3,4,58
Да,Да,Да,37,F,8,Россия,Чехия,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05,5,5,5,5,5,5,4,4,5,5,5,5,5,4,67,6,6,3,5,7,5,6,5,7,7,6,6,5.75,4,3,2,4,3,3,2,4,2,4,3,4,3,4,2,3,3,3,56
Да,Да,Да,21,F,1,Россия,Чехия,3,3,2,3,3,3,3,1,3,3,5,4,3,3,5,3,1,1,1,1,2.7,3,2,3,3,1,4,3,2,2,3,1,4,2,3,36,4,4,3,4,4,5,5,4,3,3,3,4,3.83,3,2,2,2,2,1,2,3,3,3,2,3,3,2,3,3,2,3,44
Да,Да,Да,19,F,3,Россия,Чехия,2,3,3,2,4,4,4,4,4,3,3,5,4,4,4,5,5,4,4,5,3.8,1,0,0,0,0,1,1,1,1,0,1,0,0,1,7,2,2,2,3,3,3,2,2,3,3,3,4,2.67,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,29
Да,Да,Да,19,M,2,Россия,Чехия,3,4,5,5,2,3,1,2,4,4,4,4,4,5,3,2,3,2,4,4,3.4,1,0,1,0,1,3,1,0,0,1,1,1,0,0,10,3,3,4,4,3,4,4,3,3,4,3,3,3.42,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,3,3,2,41
